buying price,maintenance cost,number of doors,number of persons,luggage boot,safety,decision
vhigh,vhigh,5more,4,big,,unacceptable
vhigh,vhigh,5more,more,small,low,unacceptable
vhigh,vhigh,5more,more,small,med,unacceptable
vhigh,vhigh,5more,more,small,high,unacceptable
vhigh,vhigh,5more,more,med,,unacceptable
vhigh,vhigh,5more,more,med,,unacceptable
vhigh,vhigh,5more,more,med,,unacceptable
,vhigh,5more,more,big,low,
vhigh,vhigh,5more,more,big,med,
,vhigh,5more,more,big,high,unacceptable
vhigh,high,2,2,small,low,unacceptable
vhigh,high,2,2,small,med,unacceptable
vhigh,high,2,2,small,high,unacceptable
vhigh,high,2,2,med,low,unacceptable
vhigh,high,2,2,med,med,unacceptable
vhigh,high,2,2,med,high,
vhigh,high,,2,big,low,unacceptable
vhigh,high,2,2,big,med,unacceptable
vhigh,high,2,2,big,high,unacceptable
vhigh,high,2,4,small,low,
vhigh,high,2,4,small,med,unacceptable
vhigh,high,2,4,small,high,unacceptable
vhigh,high,2,4,med,,unacceptable
vhigh,high,2,4,med,,unacceptable
vhigh,high,2,4,med,high,unacceptable
vhigh,high,2,4,big,low,unacceptable
vhigh,high,2,4,big,med,
vhigh,high,2,4,big,high,unacceptable
vhigh,high,,more,small,low,unacceptable
vhigh,high,2,more,small,med,unacceptable
,high,2,more,small,high,unacceptable
,high,2,more,med,low,unacceptable
vhigh,high,2,more,med,med,
vhigh,high,2,more,med,high,unacceptable
vhigh,high,2,more,big,low,unacceptable
vhigh,high,2,more,big,med,unacceptable
vhigh,high,2,more,big,high,unacceptable
vhigh,high,3,2,small,low,unacceptable
vhigh,high,3,2,small,,
vhigh,high,,2,small,high,unacceptable
,high,,2,med,low,unacceptable
vhigh,high,3,2,med,med,unacceptable
vhigh,high,3,2,med,high,unacceptable
vhigh,high,3,2,big,low,
vhigh,high,3,2,big,med,unacceptable
vhigh,high,3,2,big,high,
vhigh,high,3,4,small,low,unacceptable
,high,3,4,small,med,unacceptable
vhigh,high,3,4,small,,unacceptable
vhigh,high,3,4,med,low,unacceptable
vhigh,high,3,4,med,med,unacceptable
vhigh,high,3,4,med,high,unacceptable
vhigh,high,,4,big,low,unacceptable
vhigh,high,3,4,big,,unacceptable
vhigh,high,,4,big,high,unacceptable
vhigh,high,3,more,small,low,unacceptable
vhigh,high,3,more,small,med,unacceptable
vhigh,high,3,more,small,high,unacceptable
vhigh,high,3,more,med,low,
vhigh,high,3,more,med,med,unacceptable
vhigh,high,3,more,med,high,unacceptable
vhigh,high,3,more,big,low,unacceptable
vhigh,high,3,more,big,med,unacceptable
,high,3,more,big,high,unacceptable
vhigh,high,4,2,small,low,unacceptable
vhigh,high,4,2,small,med,unacceptable
vhigh,high,4,2,small,high,unacceptable
vhigh,high,,2,med,low,
vhigh,high,4,2,med,,unacceptable
vhigh,high,,2,med,high,unacceptable
vhigh,high,4,2,big,low,
vhigh,high,4,2,big,med,unacceptable
vhigh,high,4,2,big,high,unacceptable
vhigh,high,4,4,small,low,unacceptable
vhigh,high,,4,small,med,unacceptable
vhigh,high,,4,small,high,unacceptable
vhigh,high,4,4,med,low,unacceptable
vhigh,high,4,4,med,med,unacceptable
vhigh,high,4,4,med,high,unacceptable
vhigh,high,4,4,big,low,unacceptable
vhigh,high,4,4,big,med,unacceptable
vhigh,high,4,4,big,high,unacceptable
vhigh,high,4,more,small,low,unacceptable
,high,4,more,small,med,unacceptable
vhigh,high,4,more,small,high,unacceptable
vhigh,high,4,more,med,low,unacceptable
vhigh,high,4,more,med,med,unacceptable
vhigh,high,4,more,med,high,
vhigh,high,4,more,big,low,unacceptable
vhigh,high,4,more,big,med,unacceptable
vhigh,high,4,more,big,high,unacceptable
vhigh,high,,2,small,low,unacceptable
vhigh,high,,2,small,med,
vhigh,high,5more,2,small,high,unacceptable
vhigh,high,,2,med,low,unacceptable
,high,5more,2,med,med,unacceptable
vhigh,high,5more,2,med,high,unacceptable
vhigh,high,5more,2,big,low,unacceptable
vhigh,high,,2,big,med,unacceptable
vhigh,high,5more,2,big,high,unacceptable
vhigh,high,5more,4,small,low,unacceptable
vhigh,high,,4,small,med,unacceptable
vhigh,high,,4,small,high,unacceptable
vhigh,high,5more,4,med,low,unacceptable
vhigh,high,5more,4,med,med,
vhigh,high,5more,4,med,high,unacceptable
,high,,4,big,low,unacceptable
vhigh,high,,4,big,med,unacceptable
vhigh,high,5more,4,big,high,unacceptable
vhigh,high,5more,more,small,low,unacceptable
vhigh,high,5more,more,small,med,unacceptable
vhigh,high,5more,more,small,high,unacceptable
vhigh,high,5more,more,med,low,unacceptable
,high,5more,more,med,,unacceptable
vhigh,high,,more,med,,unacceptable
vhigh,high,5more,more,big,low,unacceptable
vhigh,high,,more,big,med,unacceptable
vhigh,high,,more,big,high,unacceptable
vhigh,med,2,2,small,low,unacceptable
vhigh,med,2,2,small,med,
vhigh,med,2,2,small,high,unacceptable
vhigh,med,2,2,med,low,unacceptable
vhigh,med,,2,med,med,
vhigh,med,2,2,med,high,
vhigh,med,2,2,big,low,unacceptable
,med,2,2,big,med,unacceptable
vhigh,med,2,2,big,high,unacceptable
vhigh,med,2,4,small,low,unacceptable
vhigh,med,2,4,small,med,unacceptable
vhigh,med,2,4,small,high,acceptable
vhigh,med,2,4,med,,unacceptable
vhigh,med,2,4,med,med,unacceptable
vhigh,med,2,4,med,,acceptable
vhigh,med,2,4,big,low,unacceptable
vhigh,med,2,4,big,med,
vhigh,med,2,4,big,high,acceptable
vhigh,med,2,more,small,low,
vhigh,med,2,more,small,med,unacceptable
,med,2,more,small,high,unacceptable
vhigh,med,2,more,med,low,unacceptable
vhigh,med,2,more,med,,unacceptable
vhigh,med,2,more,med,high,acceptable
vhigh,med,2,more,big,low,unacceptable
vhigh,med,2,more,big,med,acceptable
,med,2,more,big,high,acceptable
vhigh,med,3,2,small,,unacceptable
vhigh,med,3,2,small,med,unacceptable
vhigh,med,,2,small,high,unacceptable
vhigh,med,,2,med,low,unacceptable
vhigh,med,,2,med,med,
vhigh,med,3,2,med,,unacceptable
vhigh,med,3,2,big,low,unacceptable
vhigh,med,3,2,big,med,unacceptable
vhigh,med,,2,big,high,unacceptable
vhigh,med,3,4,small,low,unacceptable
vhigh,med,3,4,small,med,unacceptable
vhigh,med,3,4,small,high,acceptable
vhigh,med,3,4,med,low,unacceptable
vhigh,med,3,4,med,med,unacceptable
vhigh,med,3,4,med,high,acceptable
vhigh,med,3,4,big,low,unacceptable
vhigh,med,3,4,big,med,acceptable
vhigh,med,3,4,big,high,acceptable
vhigh,med,3,more,small,low,unacceptable
vhigh,med,3,more,small,med,unacceptable
vhigh,med,3,more,small,high,acceptable
vhigh,med,,more,med,,unacceptable
vhigh,med,,more,med,med,acceptable
vhigh,med,3,more,med,high,acceptable
vhigh,med,,more,big,low,unacceptable
vhigh,med,3,more,big,med,acceptable
,med,3,more,big,high,acceptable
vhigh,med,4,2,small,low,unacceptable
vhigh,med,4,2,small,med,unacceptable
vhigh,med,4,2,small,high,unacceptable
vhigh,med,4,2,med,low,unacceptable
,med,4,2,med,,unacceptable
vhigh,med,,2,med,,unacceptable
vhigh,med,4,2,big,low,unacceptable
vhigh,med,4,2,big,med,unacceptable
vhigh,med,,2,big,high,unacceptable
,med,4,4,small,,unacceptable
vhigh,med,4,4,small,med,unacceptable
vhigh,med,4,4,small,high,
vhigh,med,4,4,med,low,unacceptable
,med,4,4,med,med,acceptable
vhigh,med,4,4,med,high,acceptable
vhigh,med,4,4,big,,unacceptable
vhigh,med,4,4,big,,acceptable
vhigh,med,4,4,big,,acceptable
vhigh,med,4,more,small,low,unacceptable
vhigh,med,4,more,small,med,unacceptable
vhigh,med,4,more,small,high,acceptable
vhigh,med,4,more,med,,unacceptable
vhigh,med,4,more,med,med,acceptable
vhigh,med,4,more,med,high,acceptable
vhigh,med,4,more,big,low,unacceptable
vhigh,med,,more,big,med,acceptable
vhigh,med,,more,big,high,acceptable
vhigh,med,5more,2,small,low,
vhigh,med,5more,2,small,med,unacceptable
vhigh,med,5more,2,small,high,unacceptable
vhigh,med,5more,2,med,low,unacceptable
vhigh,med,5more,2,med,,unacceptable
vhigh,med,5more,2,med,high,unacceptable
vhigh,med,5more,2,big,low,unacceptable
vhigh,med,5more,2,big,med,unacceptable
vhigh,med,5more,2,big,high,unacceptable
vhigh,med,5more,4,small,low,unacceptable
,med,,4,small,med,unacceptable
,med,5more,4,small,high,acceptable
,med,5more,4,med,low,unacceptable
,med,5more,4,med,med,acceptable
vhigh,med,5more,4,med,high,acceptable
vhigh,med,5more,4,big,low,unacceptable
vhigh,med,5more,4,big,med,acceptable
vhigh,med,5more,4,big,high,acceptable
vhigh,med,,more,small,low,unacceptable
vhigh,med,5more,more,small,med,unacceptable
vhigh,med,,more,small,high,acceptable
vhigh,med,5more,more,med,low,unacceptable
vhigh,med,5more,more,med,med,acceptable
vhigh,med,5more,more,med,high,
vhigh,med,5more,more,big,low,unacceptable
vhigh,med,5more,more,big,med,acceptable
vhigh,med,5more,more,big,high,acceptable
vhigh,low,,2,small,low,unacceptable
,low,2,2,small,med,unacceptable
vhigh,low,2,2,small,high,
vhigh,low,2,2,med,low,unacceptable
vhigh,low,2,2,med,med,
vhigh,low,,2,med,high,unacceptable
vhigh,low,2,2,big,,
vhigh,low,2,2,big,med,unacceptable
vhigh,low,2,2,big,high,unacceptable
vhigh,low,2,4,small,low,unacceptable
vhigh,low,2,4,small,med,unacceptable
vhigh,low,2,4,small,high,acceptable
vhigh,low,2,4,med,low,unacceptable
vhigh,low,2,4,med,med,unacceptable
,low,2,4,med,,
vhigh,low,2,4,big,low,
vhigh,low,2,4,big,med,acceptable
vhigh,low,2,4,big,high,acceptable
vhigh,low,2,more,small,low,unacceptable
vhigh,low,2,more,small,med,unacceptable
vhigh,low,,more,small,high,unacceptable
vhigh,low,2,more,med,low,unacceptable
vhigh,low,2,more,med,,unacceptable
vhigh,low,,more,med,high,acceptable
vhigh,low,2,more,big,low,unacceptable
vhigh,low,2,more,big,,acceptable
vhigh,low,,more,big,high,acceptable
vhigh,low,3,2,small,low,
vhigh,low,,2,small,med,unacceptable
vhigh,low,3,2,small,high,unacceptable
vhigh,low,3,2,med,low,unacceptable
vhigh,low,3,2,med,med,unacceptable
vhigh,low,3,2,med,high,unacceptable
vhigh,low,,2,big,low,unacceptable
,low,3,2,big,med,unacceptable
vhigh,low,3,2,big,high,unacceptable
vhigh,low,3,4,small,low,unacceptable
vhigh,low,3,4,small,,unacceptable
vhigh,low,3,4,small,high,acceptable
vhigh,low,3,4,med,low,unacceptable
vhigh,low,,4,med,med,unacceptable
vhigh,low,3,4,med,high,
vhigh,low,3,4,big,low,unacceptable
vhigh,low,3,4,big,med,acceptable
vhigh,low,3,4,big,high,acceptable
vhigh,low,3,more,small,low,unacceptable
,low,3,more,small,med,
vhigh,low,3,more,small,high,acceptable
vhigh,low,3,more,med,low,unacceptable
vhigh,low,3,more,med,med,acceptable
vhigh,low,3,more,med,high,acceptable
vhigh,low,3,more,big,low,unacceptable
vhigh,low,3,more,big,med,acceptable
vhigh,low,3,more,big,high,acceptable
,low,4,2,small,low,unacceptable
vhigh,low,4,2,small,med,unacceptable
vhigh,low,4,2,small,high,unacceptable
vhigh,low,4,2,med,low,unacceptable
vhigh,low,,2,med,,unacceptable
vhigh,low,4,2,med,high,unacceptable
vhigh,low,,2,big,low,unacceptable
vhigh,low,4,2,big,med,unacceptable
vhigh,low,,2,big,high,unacceptable
,low,4,4,small,low,unacceptable
vhigh,low,4,4,small,med,unacceptable
vhigh,low,4,4,small,high,
vhigh,low,,4,med,low,unacceptable
vhigh,low,4,4,med,med,acceptable
vhigh,low,4,4,med,high,
vhigh,low,4,4,big,low,
vhigh,low,4,4,big,med,acceptable
vhigh,low,4,4,big,high,acceptable
vhigh,low,4,more,small,low,unacceptable
,low,,more,small,,unacceptable
vhigh,low,4,more,small,high,acceptable
vhigh,low,4,more,med,low,unacceptable
,low,4,more,med,med,acceptable
vhigh,low,,more,med,high,acceptable
vhigh,low,4,more,big,,unacceptable
vhigh,low,4,more,big,med,acceptable
vhigh,low,4,more,big,high,acceptable
,low,5more,2,small,low,unacceptable
vhigh,low,5more,2,small,,unacceptable
vhigh,low,5more,2,small,high,unacceptable
vhigh,low,5more,2,med,low,unacceptable
vhigh,low,5more,2,med,med,unacceptable
vhigh,low,5more,2,med,high,unacceptable
vhigh,low,5more,2,big,low,unacceptable
,low,,2,big,med,unacceptable
vhigh,low,5more,2,big,high,unacceptable
vhigh,low,5more,4,small,low,unacceptable
vhigh,low,5more,4,small,med,unacceptable
vhigh,low,5more,4,small,high,
vhigh,low,5more,4,med,low,unacceptable
vhigh,low,,4,med,med,acceptable
vhigh,low,5more,4,med,,acceptable
vhigh,low,5more,4,big,,unacceptable
vhigh,low,5more,4,big,med,acceptable
vhigh,low,5more,4,big,high,acceptable
vhigh,low,,more,small,low,
vhigh,low,5more,more,small,med,unacceptable
vhigh,low,5more,more,small,high,acceptable
vhigh,low,5more,more,med,low,unacceptable
vhigh,low,5more,more,med,med,
vhigh,low,5more,more,med,high,acceptable
vhigh,low,5more,more,big,low,unacceptable
vhigh,low,5more,more,big,med,acceptable
vhigh,low,5more,more,big,high,acceptable
high,vhigh,2,2,small,low,unacceptable
high,vhigh,2,2,small,,
high,vhigh,2,2,small,high,unacceptable
high,vhigh,2,2,med,low,unacceptable
high,vhigh,2,2,med,med,unacceptable
high,vhigh,2,2,med,high,
high,vhigh,2,2,big,low,unacceptable
high,vhigh,2,2,big,med,unacceptable
high,vhigh,2,2,big,high,unacceptable
high,vhigh,,4,small,low,unacceptable
high,vhigh,2,4,small,med,unacceptable
high,vhigh,2,4,small,high,unacceptable
high,vhigh,2,4,med,low,unacceptable
high,vhigh,2,4,med,med,unacceptable
,vhigh,2,4,med,high,unacceptable
high,vhigh,,4,big,low,unacceptable
,vhigh,2,4,big,med,unacceptable
high,vhigh,2,4,big,high,unacceptable
high,vhigh,2,more,small,low,unacceptable
,vhigh,2,more,small,med,unacceptable
high,vhigh,2,more,small,high,unacceptable
high,vhigh,2,more,med,low,unacceptable
high,vhigh,2,more,med,med,
high,vhigh,2,more,med,high,unacceptable
high,vhigh,2,more,big,low,unacceptable
high,vhigh,2,more,big,med,unacceptable
high,vhigh,2,more,big,high,
high,vhigh,3,2,small,low,unacceptable
,vhigh,3,2,small,med,unacceptable
high,vhigh,3,2,small,high,unacceptable
high,vhigh,3,2,med,low,unacceptable
high,vhigh,3,2,med,,unacceptable
high,vhigh,3,2,med,high,unacceptable
high,vhigh,3,2,big,low,unacceptable
high,vhigh,3,2,big,med,unacceptable
high,vhigh,,2,big,high,unacceptable
high,vhigh,3,4,small,,unacceptable
,vhigh,3,4,small,med,unacceptable
high,vhigh,3,4,small,high,unacceptable
high,vhigh,3,4,med,low,unacceptable
high,vhigh,3,4,med,med,unacceptable
high,vhigh,3,4,med,high,unacceptable
high,vhigh,3,4,big,low,unacceptable
high,vhigh,3,4,big,,unacceptable
high,vhigh,,4,big,high,unacceptable
high,vhigh,3,more,small,low,unacceptable
,vhigh,3,more,small,med,unacceptable
high,vhigh,,more,small,high,unacceptable
high,vhigh,,more,med,low,unacceptable
high,vhigh,3,more,med,med,unacceptable
high,vhigh,3,more,med,high,unacceptable
high,vhigh,,more,big,,unacceptable
high,vhigh,,more,big,med,unacceptable
high,vhigh,3,more,big,high,unacceptable
,vhigh,,2,small,low,unacceptable
high,vhigh,4,2,small,,unacceptable
high,vhigh,4,2,small,high,
high,vhigh,4,2,med,low,
high,vhigh,4,2,med,,unacceptable
high,vhigh,4,2,med,high,unacceptable
high,vhigh,4,2,big,low,unacceptable
high,vhigh,4,2,big,med,unacceptable
high,vhigh,,2,big,high,unacceptable
high,vhigh,4,4,small,low,unacceptable
high,vhigh,,4,small,med,unacceptable
high,vhigh,4,4,small,high,
high,vhigh,4,4,med,low,unacceptable
high,vhigh,4,4,med,med,unacceptable
high,vhigh,4,4,med,high,unacceptable
,vhigh,4,4,big,low,unacceptable
high,vhigh,4,4,big,med,
high,vhigh,4,4,big,,unacceptable
high,vhigh,4,more,small,low,
high,vhigh,4,more,small,med,unacceptable
high,vhigh,,more,small,high,unacceptable
,vhigh,,more,med,low,unacceptable
high,vhigh,4,more,med,med,unacceptable
high,vhigh,4,more,med,high,unacceptable
high,vhigh,4,more,big,low,unacceptable
high,vhigh,4,more,big,med,unacceptable
high,vhigh,4,more,big,high,unacceptable
,vhigh,5more,2,small,low,unacceptable
high,vhigh,5more,2,small,med,unacceptable
high,vhigh,5more,2,small,high,unacceptable
high,vhigh,5more,2,med,low,unacceptable
high,vhigh,5more,2,med,,unacceptable
high,vhigh,5more,2,med,,unacceptable
high,vhigh,5more,2,big,low,unacceptable
high,vhigh,5more,2,big,med,unacceptable
high,vhigh,5more,2,big,high,unacceptable
high,vhigh,,4,small,low,unacceptable
high,vhigh,5more,4,small,med,unacceptable
high,vhigh,5more,4,small,high,unacceptable
high,vhigh,5more,4,med,low,unacceptable
high,vhigh,5more,4,med,med,unacceptable
high,vhigh,5more,4,med,high,unacceptable
high,vhigh,,4,big,low,unacceptable
high,vhigh,,4,big,med,unacceptable
high,vhigh,5more,4,big,high,unacceptable
high,vhigh,5more,more,small,low,unacceptable
high,vhigh,5more,more,small,med,unacceptable
high,vhigh,5more,more,small,,unacceptable
high,vhigh,,more,med,low,unacceptable
high,vhigh,,more,med,med,unacceptable
high,vhigh,5more,more,med,high,unacceptable
high,vhigh,5more,more,big,low,unacceptable
,vhigh,,more,big,med,unacceptable
high,vhigh,5more,more,big,high,unacceptable
high,high,2,2,small,low,unacceptable
high,high,2,2,small,med,unacceptable
,high,2,2,small,high,unacceptable
high,high,2,2,med,low,unacceptable
high,high,,2,med,med,unacceptable
high,high,2,2,med,high,unacceptable
,high,2,2,big,low,unacceptable
high,high,2,2,big,med,unacceptable
high,high,2,2,big,high,unacceptable
high,high,2,4,small,low,unacceptable
high,high,2,4,small,med,unacceptable
high,high,2,4,small,high,acceptable
high,high,2,4,med,low,unacceptable
high,high,2,4,med,med,unacceptable
high,high,2,4,med,high,
high,high,2,4,big,,unacceptable
high,high,2,4,big,med,acceptable
high,high,2,4,big,high,acceptable
high,high,,more,small,low,unacceptable
high,high,,more,small,,unacceptable
high,high,2,more,small,high,
high,high,2,more,med,low,unacceptable
high,high,2,more,med,med,unacceptable
high,high,2,more,med,high,acceptable
high,high,,more,big,low,unacceptable
high,high,,more,big,med,acceptable
high,high,2,more,big,,acceptable
high,high,3,2,small,low,unacceptable
high,high,3,2,small,med,
high,high,,2,small,high,unacceptable
high,high,3,2,med,low,unacceptable
high,high,3,2,med,med,unacceptable
high,high,3,2,med,high,unacceptable
high,high,3,2,big,low,unacceptable
high,high,3,2,big,med,unacceptable
high,high,,2,big,high,unacceptable
high,high,3,4,small,low,unacceptable
high,high,3,4,small,med,unacceptable
high,high,3,4,small,high,acceptable
high,high,3,4,med,low,unacceptable
high,high,3,4,med,med,unacceptable
high,high,3,4,med,,acceptable
high,high,3,4,big,low,unacceptable
high,high,3,4,big,med,acceptable
high,high,3,4,big,high,acceptable
high,high,,more,small,low,unacceptable
high,high,3,more,small,med,unacceptable
high,high,3,more,small,high,acceptable
high,high,,more,med,low,unacceptable
high,high,3,more,med,med,acceptable
high,high,3,more,med,high,acceptable
high,high,3,more,big,low,unacceptable
high,high,3,more,big,med,acceptable
high,high,3,more,big,high,
high,high,4,2,small,,unacceptable
high,high,4,2,small,med,
high,high,4,2,small,high,unacceptable
high,high,4,2,med,low,unacceptable
high,high,4,2,med,med,unacceptable
high,high,4,2,med,high,unacceptable
high,high,4,2,big,low,unacceptable
high,high,4,2,big,med,unacceptable
high,high,4,2,big,high,unacceptable
high,high,4,4,small,low,unacceptable
high,high,4,4,small,med,
high,high,4,4,small,high,acceptable
high,high,4,4,med,low,unacceptable
,high,4,4,med,med,acceptable
high,high,4,4,med,high,acceptable
high,high,4,4,big,low,unacceptable
high,high,4,4,big,med,acceptable
,high,4,4,big,high,acceptable
high,high,4,more,small,low,unacceptable
high,high,4,more,small,med,unacceptable
high,high,4,more,small,,acceptable
high,high,4,more,med,low,unacceptable
high,high,,more,med,med,
high,high,,more,med,high,acceptable
high,high,,more,big,low,unacceptable
high,high,4,more,big,med,acceptable
high,high,4,more,big,high,acceptable
high,high,5more,2,small,low,unacceptable
high,high,5more,2,small,med,unacceptable
high,high,5more,2,small,high,unacceptable
high,high,5more,2,med,low,unacceptable
high,high,5more,2,med,med,unacceptable
high,high,5more,2,med,high,unacceptable
high,high,5more,2,big,low,unacceptable
high,high,5more,2,big,med,unacceptable
high,high,5more,2,big,high,
high,high,5more,4,small,low,unacceptable
high,high,5more,4,small,med,unacceptable
high,high,5more,4,small,high,acceptable
high,high,5more,4,med,low,unacceptable
high,high,5more,4,med,med,acceptable
high,high,,4,med,high,
high,high,5more,4,big,low,
high,high,5more,4,big,med,acceptable
high,high,5more,4,big,high,acceptable
high,high,,more,small,,unacceptable
high,high,,more,small,med,unacceptable
high,high,,more,small,high,
high,high,,more,med,low,
high,high,5more,more,med,med,acceptable
high,high,5more,more,med,high,acceptable
,high,5more,more,big,low,
high,high,5more,more,big,med,acceptable
high,high,5more,more,big,high,acceptable
high,med,2,2,small,,unacceptable
high,med,,2,small,med,unacceptable
high,med,2,2,small,high,unacceptable
,med,2,2,med,low,unacceptable
high,med,2,2,med,med,unacceptable
high,med,2,2,med,high,unacceptable
high,med,2,2,big,low,unacceptable
,med,2,2,big,med,unacceptable
high,med,,2,big,high,unacceptable
high,med,2,4,small,low,unacceptable
high,med,2,4,small,med,unacceptable
high,med,2,4,small,high,acceptable
,med,2,4,med,low,unacceptable
high,med,2,4,med,,unacceptable
high,med,2,4,med,high,acceptable
high,med,2,4,big,,unacceptable
high,med,2,4,big,med,acceptable
,med,2,4,big,high,acceptable
high,med,2,more,small,,unacceptable
high,med,2,more,small,med,unacceptable
high,med,2,more,small,high,unacceptable
high,med,2,more,med,low,
high,med,2,more,med,med,unacceptable
high,med,2,more,med,high,acceptable
high,med,2,more,big,low,
high,med,2,more,big,med,acceptable
high,med,2,more,big,high,acceptable
high,med,3,2,small,low,unacceptable
high,med,,2,small,med,unacceptable
,med,3,2,small,high,unacceptable
high,med,3,2,med,low,unacceptable
high,med,3,2,med,med,unacceptable
high,med,3,2,med,high,
high,med,,2,big,low,unacceptable
high,med,3,2,big,med,unacceptable
high,med,3,2,big,high,unacceptable
high,med,3,4,small,low,
high,med,3,4,small,,unacceptable
high,med,3,4,small,high,
high,med,3,4,med,low,unacceptable
high,med,3,4,med,med,unacceptable
high,med,3,4,med,high,acceptable
high,med,3,4,big,low,unacceptable
high,med,3,4,big,med,acceptable
high,med,3,4,big,high,acceptable
high,med,3,more,small,low,unacceptable
high,med,3,more,small,med,unacceptable
high,med,3,more,small,high,
high,med,3,more,med,low,unacceptable
high,med,3,more,med,med,
high,med,3,more,med,high,acceptable
high,med,3,more,big,low,unacceptable
high,med,3,more,big,med,acceptable
high,med,3,more,big,high,acceptable
high,med,4,2,small,low,unacceptable
high,med,,2,small,,unacceptable
high,med,4,2,small,high,unacceptable
,med,4,2,med,low,unacceptable
high,med,4,2,med,med,unacceptable
high,med,4,2,med,high,unacceptable
